Year,Month,AG,AI,AR,BE,BL,BS,FL,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,??
2016,1,90.0,,5.0,125,34.0,0.0,5.0,35.0,27.0,,21.0,6.0,31.0,12.0,0.0,0.0,64.0,8.0,22.0,12.0,45.0,32.0,0.0,110,15.0,5.0,105.0,
2016,2,38.0,0.0,0.0,50,10.0,0.0,0.0,15.0,13.0,0.0,5.0,0.0,8.0,11.0,0.0,,31.0,,9.0,,20.0,8.0,,27,10.0,,52.0,
2016,3,68.0,0.0,,61,6.0,,7.0,9.0,8.0,0.0,17.0,,15.0,5.0,0.0,,40.0,,27.0,10.0,38.0,10.0,0.0,30,7.0,5.0,52.0,
2016,4,35.0,0.0,,68,18.0,,5.0,15.0,16.0,,17.0,0.0,24.0,5.0,,0.0,22.0,5.0,16.0,8.0,22.0,15.0,0.0,64,10.0,,72.0,5.0
2016,5,49.0,0.0,,46,,0.0,5.0,33.0,10.0,,13.0,,9.0,5.0,0.0,0.0,27.0,,12.0,,28.0,8.0,0.0,59,7.0,,53.0,
2016,6,46.0,0.0,0.0,60,11.0,,0.0,27.0,12.0,,10.0,5.0,7.0,12.0,,0.0,34.0,,11.0,9.0,24.0,12.0,0.0,35,5.0,,55.0,
2016,7,13.0,0.0,,22,,0.0,,34.0,12.0,0.0,,,8.0,,0.0,0.0,8.0,,7.0,5.0,13.0,7.0,0.0,26,9.0,,17.0,0.0
2016,8,8.0,0.0,0.0,17,,0.0,0.0,6.0,6.0,0.0,7.0,,,,0.0,0.0,6.0,0.0,,,6.0,,0.0,28,10.0,,22.0,0.0
2016,9,6.0,0.0,0.0,11,,,,,8.0,0.0,,0.0,,,0.0,0.0,7.0,,,,7.0,12.0,0.0,6,5.0,,12.0,0.0
2016,10,82.0,0.0,,102,11.0,0.0,,43.0,16.0,0.0,21.0,6.0,24.0,12.0,,0.0,46.0,17.0,40.0,7.0,62.0,18.0,0.0,96,,8.0,108.0,8.0
2016,11,10.0,0.0,,14,,0.0,,11.0,5.0,0.0,,,,,0.0,0.0,8.0,,,,7.0,,0.0,40,7.0,,13.0,0.0
2016,12,5.0,,0.0,11,,0.0,,6.0,13.0,0.0,0.0,,,,0.0,,6.0,0.0,,0.0,,0.0,0.0,29,,,,0.0
2017,1,68.0,0.0,0.0,103,27.0,0.0,,50.0,17.0,,20.0,,25.0,7.0,,0.0,46.0,8.0,23.0,11.0,59.0,22.0,0.0,130,18.0,11.0,99.0,0.0
2017,2,41.0,0.0,0.0,61,,0.0,,23.0,7.0,,8.0,9.0,15.0,5.0,,0.0,12.0,9.0,12.0,,33.0,18.0,0.0,31,8.0,,44.0,
2017,3,61.0,0.0,,76,8.0,0.0,,9.0,9.0,,14.0,5.0,19.0,,0.0,,23.0,6.0,14.0,9.0,20.0,17.0,,30,8.0,5.0,64.0,0.0
2017,4,41.0,,0.0,76,8.0,0.0,,45.0,15.0,,17.0,5.0,21.0,,0.0,,12.0,6.0,14.0,10.0,23.0,32.0,0.0,54,17.0,6.0,66.0,0.0
2017,5,39.0,0.0,0.0,62,11.0,0.0,,22.0,10.0,,17.0,,7.0,5.0,0.0,,26.0,6.0,6.0,5.0,29.0,18.0,0.0,45,,,104.0,0.0
2017,6,48.0,,,69,,0.0,,31.0,11.0,0.0,8.0,,17.0,5.0,,0.0,31.0,,12.0,,22.0,7.0,0.0,32,6.0,8.0,67.0,
2017,7,23.0,0.0,0.0,28,7.0,0.0,0.0,10.0,11.0,0.0,,5.0,9.0,0.0,0.0,0.0,10.0,5.0,0.0,5.0,10.0,6.0,0.0,22,6.0,,43.0,0.0
2017,8,8.0,0.0,,8,,0.0,,7.0,,0.0,,,,,0.0,0.0,5.0,,5.0,,9.0,5.0,,8,,,21.0,0.0
2017,9,5.0,0.0,,8,,0.0,,,,0.0,,0.0,,,0.0,0.0,9.0,,,,17.0,5.0,0.0,6,,,24.0,0.0
2017,10,88.0,0.0,0.0,121,12.0,0.0,,48.0,13.0,9.0,16.0,6.0,30.0,,0.0,,31.0,13.0,36.0,10.0,54.0,24.0,0.0,101,15.0,12.0,101.0,0.0
2017,11,5.0,0.0,,7,,0.0,0.0,6.0,0.0,0.0,,,8.0,,0.0,0.0,,0.0,,,,,0.0,6,,,10.0,0.0
2017,12,7.0,0.0,0.0,10,,0.0,0.0,,6.0,0.0,0.0,0.0,,,0.0,0.0,7.0,,,0.0,6.0,,0.0,16,,,8.0,0.0
2018,1,66.0,0.0,,90,17.0,,,37.0,18.0,,14.0,,32.0,6.0,0.0,,45.0,8.0,25.0,,53.0,11.0,0.0,42,9.0,,80.0,0.0
2018,2,40.0,0.0,,54,9.0,0.0,0.0,22.0,7.0,0.0,6.0,,16.0,6.0,0.0,0.0,18.0,8.0,13.0,,17.0,8.0,0.0,33,9.0,9.0,37.0,
2018,3,38.0,,,52,8.0,0.0,0.0,15.0,7.0,,18.0,,19.0,,,0.0,18.0,,21.0,9.0,26.0,,0.0,44,9.0,0.0,57.0,0.0
2018,4,36.0,0.0,,38,5.0,0.0,,21.0,12.0,0.0,7.0,5.0,23.0,,0.0,0.0,11.0,,14.0,5.0,16.0,16.0,0.0,44,9.0,,57.0,0.0
2018,5,24.0,0.0,,54,7.0,0.0,,16.0,17.0,0.0,11.0,5.0,19.0,,,0.0,19.0,8.0,11.0,,22.0,9.0,,50,9.0,,59.0,0.0
2018,6,25.0,0.0,0.0,43,9.0,0.0,,18.0,10.0,,15.0,,26.0,6.0,0.0,0.0,22.0,,,,16.0,8.0,,30,7.0,8.0,64.0,0.0
2018,7,26.0,0.0,,58,12.0,0.0,,5.0,10.0,,6.0,9.0,17.0,5.0,,0.0,16.0,,20.0,,22.0,13.0,0.0,31,,6.0,41.0,0.0
2018,8,19.0,0.0,,54,6.0,0.0,0.0,6.0,11.0,,,,11.0,,,0.0,9.0,5.0,10.0,6.0,18.0,13.0,0.0,25,6.0,5.0,41.0,0.0
